,dt,type,query
0,2025-05-24 14:54:32,family,Adoption service
1,2025-07-22 15:31:56,counselling and emotional support,child 12 years old feeling anxious about exams. looking for mental health help
2,2025-07-18 16:05:19,financial assistance,Do I have to be Singaporean to get ComCare?
3,2025-05-15 02:12:07,elderly,I am Caregiver looking for Caregiver Support. care corner only
4,2025-08-19 04:14:32,counselling and emotional support,I am Child or Youth looking for Social Work & Casework that offers Social Work Services
5,2025-06-11 15:30:29,mental health,I am Low-Income Individual or Family looking for Housing Assistance that offers Mental Health Support
6,2025-08-23 07:08:48,financial assistance,"my client, a low income family needed donated furniture for new rental flat"
7,2025-07-05 10:37:13,low income,Financial support
8,2025-07-29 02:37:50,counselling and emotional support,I am In Need of Legal Aid for divorce
9,2025-06-08 05:40:00,elderly,I am Elderly (Senior) looking for Financial Assistance Programs
10,2025-07-22 15:32:04,education support,"I currently in my 30s and I am looking to go back to school to continue my studies, are there any schemes that can help me?"
11,2025-07-19 05:41:30,elderly,My mother is 60 and has dementia. She lives with me and I am her full time caregiver. What support is there for families caring for seniors with dementia?
12,2025-05-26 02:27:52,homelessness support,"I am a social worker seeking support for a 42 year old male, who is living in his car, while working as a private car hire, homeless or in Need of Shelter looking for Shelter Services that offers Housing Assistance. "
13,2025-08-20 12:41:44,financial assistance,I am pregnant and low-income
14,2025-07-18 16:19:51,family,My child was born overseas but we're Singaporeans. Can we still get the Baby Bonus?
15,2025-06-10 02:17:18,mental health,I need crisis support
16,2025-07-18 16:34:11,counselling and emotional support,My wife passed away recently and I’m left alone with no income. What can I do?
17,2025-08-08 05:39:21,counselling and emotional support,carecorners
18,2025-07-22 15:03:32,counselling and emotional support,"client in her 40s, looking for mental health help in toa payoh region"
19,2025-06-12 22:39:01,low income,I am Caregiver looking for Financial Assistance Programs that offers Employment Support
20,2025-08-06 06:24:41,financial assistance,transport vouchers
21,2025-07-19 05:20:08,financial assistance,I have no CPF savings at all and I live alone. I'm worried about paying for food and bills each month.
22,2025-08-08 03:44:50,financial assistance,I am Person with Disabilities or Special Needs looking for Financial Assistance Programs that offers Financial Assistance
23,2025-07-22 15:46:31,financial assistance,I am 54 and my income is irregular and low. I don't think I have enough to retire. Are there any financial schemes that can support me?
24,2025-07-23 11:27:38,financial assistance,i injured my wrist and have been asked to take an MRI. what support is available for me?
25,2025-07-19 04:37:12,financial assistance,I'm a 25-year-old fresh graduate who can't find a job yet. Can I get help with living expenses?
26,2025-08-24 07:14:58,financial assistance,I am looking for scheme that offers Financial Assistance
27,2025-07-18 15:29:48,financial assistance,I'm 50 and working as a cleaner but my income has dropped. I also have joint pain making it hard to work.
28,2025-06-28 04:33:30,low income,I am Low-Income Individual or Family looking for Healthcare Services that offers Education Opportunities
29,2025-07-07 10:42:13,financial assistance,I am Low-Income Individual or Family looking for Education Programs
30,2025-07-22 01:49:03,counselling and emotional support,Im looking for family services centres
31,2025-08-07 01:08:36,counselling and emotional support,I want to find jobs 
32,2025-07-14 03:45:55,counselling and emotional support,I am Person with Disabilities or Special Needs looking for Shelter Services
33,2025-07-19 06:17:29,counselling and emotional support,I'm a first-time parent and honestly I have no idea what I'm doing. Is there anywhere to get advice?
34,2025-07-29 09:40:23,counselling and emotional support,i need help w vaping addiction
35,2025-07-19 04:51:36,financial assistance,"I'm a 60-year-old man with diabetes and high blood pressure. My wife and I live in a 2-room flat on our combined part-time wages, but we struggle with clinic bills and groceries. What can we do?"
36,2025-07-19 05:34:35,financial assistance,Can I use my SkillsFuture Credit for online courses? I'm thinking of upgrading while at home.
37,2025-06-11 23:51:55,mental health,i'm addicted to sex
38,2025-08-06 02:57:14,financial assistance,I am Person with Disabilities or Special Needs looking for Housing Assistance
39,2025-06-29 06:55:36,elderly,I am looking for Caregiver Support
40,2025-07-18 16:05:45,counselling and emotional support,I’m 38 and just started caring for my wife full-time. She needs help with everything after her surgery. I had to leave my job to become a full time caregiver to take care of my wife.
41,2025-06-06 04:52:35,ex-offender,I am Ex-Offender or Incarcerated Individual looking for Mental Health Support that offers Mental Health Support
42,2025-07-15 08:09:43,financial assistance,I am looking for scheme that offers Housing Assistance
43,2025-07-19 05:56:08,counselling and emotional support,My son is using drugs and I don't know what to do anymore. I'm so scared.
44,2025-06-22 05:16:35,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
45,2025-07-18 15:58:38,education support,I'm an adult thinking of going back to school but worried about cost.
46,2025-05-12 14:40:37,low income,I am in need of financial assistance
47,2025-07-06 14:11:11,elderly,I am Elderly (Senior) looking for Shelter Services
48,2025-07-19 05:49:01,counselling and emotional support,I'm a single man in my 40s and I don't really have friends or family here. I feel very isolated.
49,2025-07-28 13:37:56,counselling and emotional support,I am looking for scheme that offers Social Work Services
50,2025-07-16 01:27:43,financial assistance,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Housing Assistance
51,2025-06-18 10:22:01,low income,I am Experiencing Abuse or Violence looking for Food Support that offers Financial Assistance
52,2025-06-26 07:56:32,mental health,I am looking for Mental Health Support
53,2025-06-26 08:18:00,mental health,I am Facing Mental Health Challenges looking for Mental Health Support that offers Mental Health Support
54,2025-07-18 15:15:44,financial assistance,I'm a single mother with a toddler in childcare. My pay is so low I can't even pay the fees anymore.
55,2025-07-14 17:36:30,counselling and emotional support,need shelter after incarceration before applying for house
56,2025-08-24 07:29:33,family,I am Parent or Family Member
57,2025-08-23 02:44:25,counselling and emotional support,I am Child or Youth looking for Employment Assistance that offers Employment Support
58,2025-05-25 07:51:34,transport,public transport
59,2025-07-14 03:46:09,counselling and emotional support,I am looking for Shelter Services
60,2025-07-22 15:32:29,counselling and emotional support,child 14 years old feeling anxious about exams. looking for mental health help
61,2025-07-18 15:01:28,counselling and emotional support,My 6-year-old son was recently diagnosed with autism. I’ve had to reduce my work hours to care for him and am struggling with transport and therapy costs. What kind of support is available for families like mine?
62,2025-06-21 08:31:09,mental health,i am a isolated person
63,2025-07-20 07:49:37,counselling and emotional support,i need assistance
64,2025-06-03 00:52:55,elderly,Accommodation assistance for elderly divorced PR
65,2025-07-18 15:30:08,financial assistance,I'm 50 and working as a cleaner but my income has dropped. I also have joint pain making it hard to work.
66,2025-07-16 02:25:05,counselling and emotional support,I am Elderly (Senior) looking for Mental Health Support
67,2025-05-25 07:37:18,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs
68,2025-06-07 04:44:25,mental health,I am looking for counselling therapy for a teenager
